date,id,n1,n2,n3,n4,n5,n6
2016-07-20,1,2,17,33,37,38,45
2016-07-22,2,3,4,14,20,25,35
2016-07-24,3,1,10,16,18,23,38
2016-07-27,4,14,17,21,25,31,37
2016-07-29,5,3,8,13,20,30,36
2016-07-31,6,2,6,19,21,35,39
2016-08-03,7,7,10,25,27,29,40
2016-08-05,8,3,9,13,18,24,31
2016-08-07,9,3,5,17,22,30,31
2016-08-10,10,6,15,16,19,27,30
2016-08-12,11,28,31,34,37,38,41
2016-08-14,12,13,16,17,29,31,37
2016-08-17,13,2,4,9,19,21,26
2016-08-19,14,11,12,17,33,34,36
2016-08-21,15,13,21,24,25,29,44
2016-08-24,16,8,17,21,23,36,40
2016-08-26,17,10,36,39,43,44,45
2016-08-28,18,4,6,10,15,16,44
2016-08-31,19,8,20,21,31,34,39
2016-09-02,20,9,13,24,35,36,41
2016-09-04,21,11,15,20,24,27,45
2016-09-07,22,6,8,12,13,15,19
2016-09-09,23,7,13,16,18,31,32
2016-09-11,24,6,9,10,18,20,31
2016-09-14,25,2,11,14,23,25,32
2016-09-16,26,4,5,6,23,31,34
2016-09-18,27,7,10,17,20,25,32
2016-09-21,28,5,12,15,30,37,41
2016-09-23,29,8,14,19,29,30,40
2016-09-25,30,1,20,28,32,42,44
2016-09-28,31,3,6,17,21,32,40
2016-09-30,32,6,20,30,38,40,45
2016-10-02,33,16,23,27,34,35,38
2016-10-05,34,5,6,19,31,42,44
2016-10-07,35,24,25,27,34,44,45
2016-10-09,36,2,15,20,32,33,44
2016-10-12,37,2,8,15,16,19,25
2016-10-14,38,3,7,9,18,28,39
2016-10-16,39,5,21,31,33,38,42
2016-10-19,40,2,13,15,17,18,41
2016-10-21,41,16,17,30,32,34,38
2016-10-23,42,2,5,12,21,22,40
2016-10-26,43,1,8,16,18,21,28
2016-10-28,44,10,11,13,14,16,38
2016-10-30,45,7,12,25,28,40,44
2016-11-02,46,3,5,8,10,13,22
2016-11-04,47,5,13,22,24,28,32
2016-11-06,48,4,15,16,20,26,41
2016-11-09,49,2,10,14,24,25,30
2016-11-11,50,10,17,22,23,30,36
2016-11-13,51,11,23,25,34,36,45
2016-11-16,52,1,9,17,28,43,44
2016-11-18,53,11,12,16,24,26,31
2016-11-20,54,9,23,33,38,41,42
2016-11-23,55,2,22,23,24,28,37
2016-11-25,56,3,4,25,31,37,40
2016-11-27,57,12,16,17,18,22,30
2016-11-30,58,6,15,17,20,23,41
2016-12-02,59,17,26,33,34,37,42
2016-12-04,60,3,5,13,27,38,44
2016-12-07,61,13,23,27,28,32,45
2016-12-09,62,11,12,15,17,21,26
2016-12-11,63,2,3,4,5,22,24
2016-12-14,64,5,6,12,16,26,30
2016-12-16,65,5,8,33,34,39,44
2016-12-18,66,3,7,30,32,41,43
2016-12-21,67,3,6,12,14,18,40
2016-12-23,68,1,17,24,25,37,43
2016-12-25,69,5,12,20,29,34,36
2016-12-28,70,2,22,25,33,38,43
2016-12-30,71,7,23,27,29,35,37
2017-01-01,72,9,18,24,33,36,39
2017-01-04,73,4,19,25,27,29,31
2017-01-06,74,22,30,34,36,43,45
2017-01-08,75,12,18,29,32,39,45
2017-01-11,76,2,8,21,29,37,45
2017-01-13,77,12,24,29,32,37,39
2017-01-15,78,5,25,27,29,31,43
2017-01-18,79,11,22,26,28,35,43
2017-01-20,80,1,11,31,32,34,37
2017-01-22,81,1,20,21,22,26,29
2017-01-25,82,6,9,14,18,28,30
2017-01-29,83,5,13,21,27,29,45
2017-02-01,84,2,10,11,18,22,33
2017-02-03,85,8,17,31,32,33,39
2017-02-05,86,1,11,26,29,34,40
2017-02-08,87,15,26,29,32,34,38
2017-02-10,88,2,6,10,13,20,28
2017-02-12,89,4,6,12,21,23,28
2017-02-15,90,4,16,19,27,29,30
2017-02-17,91,12,15,25,27,37,41
2017-02-19,92,1,17,24,25,33,35
2017-02-22,93,1,3,8,18,28,42
2017-02-24,94,2,4,19,23,44,45
2017-02-26,95,7,11,16,19,38,39
2017-03-01,96,3,4,26,30,35,44
2017-03-03,97,2,4,13,22,23,41
2017-03-05,98,18,21,24,26,39,45
2017-03-08,99,5,11,14,20,32,42
